시설번호	시설유형코드	시도명	시군구명	시군구코드	소재지도로명주소	소재지지번주소	위도	경도	상세위치	안전센터명	보호틀유무	설치연도	출수압력	관할기관명	관할기관전화번호	데이터기준일자
은평-녹번-104049	2	서울특별시	은평구	11380	서울특별시 은평구 응암로14길 23-11 주택가	서울특별시 은평구 응암동 337-66 주택가	37.590076	126.920095		녹번119안전센터	N	2019	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104050	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로10길 22	서울특별시 은평구 응암동 578-64	37.59269984	126.9169161		녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104051	2	서울특별시	은평구	11380	서울특별시 은평구 응암로14길 15-39 민들레어린이집	서울특별시 은평구 응암동 351-4 민들레어린이집	37.590285	126.920082	민들레어린이집	녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104052	2	서울특별시	은평구	11380	서울특별시 은평구 응암로16길 8-24 거성리젠시	서울특별시 은평구 응암동 368-2 거성리젠시	37.590721	126.918429	거성리젠시	녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104053	2	서울특별시	은평구	11380	서울특별시 은평구 응암로25길 1 일반주택	서울특별시 은평구 응암동 124-2 일반주택	37.595012	126.917781		녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104054	2	서울특별시	은평구	11380	서울특별시 은평구 응암로20길 4-1 행복한집 앞	서울특별시 은평구 응암동 397-88 행복한집 앞	37.59278	126.918496	행복한집	녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104055	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 247 외환은행	서울특별시 은평구 응암동 124-17 외환은행	37.593909	126.917867	외환은행	녹번119안전센터	N	2000	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104056	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 206 KTF	서울특별시 은평구 응암동 576-44 KTF	37.590548	126.917443	KTF	녹번119안전센터	N	2000	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104057	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로 9-11	서울특별시 은평구 응암동 675-16	37.58661521	126.922274		녹번119안전센터	N	2001	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104058	2	서울특별시	은평구	11380	서울특별시 은평구 은평로18길 6-16	서울특별시 은평구 응암동 74-16	37.60088697	126.930774		녹번119안전센터	N	2001	5	은평소방서	02-6981-6044	2025-04-08
