관리번호,소재지도로명주소,소재지지번주소,위도,경도,상세위치,제설함규격,염화칼슘주머니수,염화칼슘배치량,모래주머니수,모래배치량,관리기관명,데이터기준일자
은평-034,서울특별시 은평구 은평터널로 176,,37.594222,126.908331,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-035,서울특별시 은평구 은평터널로 188,,37.595267,126.908828,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-036,서울특별시 은평구 통일로 586,,37.59964368,126.937531,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-037,서울특별시 은평구 통일로 596,,37.600136,126.936467,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-038,서울특별시 은평구 통일로 780,,37.61582623,126.9285674,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-039,서울특별시 은평구 통일로 790,,37.61523052,126.925968,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-040,서울특별시 은평구 통일로 796,,37.616344,126.925756,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-041,서울특별시 은평구 통일로 928,,37.625718,126.920332,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-042,서울특별시 은평구 통일로 952,,37.627862,126.919827,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-043,서울특별시 은평구 통일로 1050,,37.63753667,126.9179003,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-044,서울특별시 은평구 통일로 1021,,37.6336094,126.9161525,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-045,서울특별시 은평구 통일로 953,,37.628136,126.919211,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-046,서울특별시 은평구 통일로 829,,37.617438,126.922217,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-047,서울특별시 은평구 통일로 803,,37.615666,126.924448,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-048,서울특별시 은평구 통일로 595,,37.599909,126.936006,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-017,서울특별시 은평구 가좌로 330,,37.596839,126.908847,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-050,서울특별시 은평구 통일로 579,,37.598648,126.937179,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-051,서울특별시 은평구 진흥로 274,,37.610424,126.939552,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-052,,서울특별시 은평구 녹번동 산1-55,37.61010187,126.9430018,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-053,,서울특별시 은평구 녹번동 산1-56,37.60996862,126.9471021,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-054,,서울특별시 은평구 불광동 산42-1,37.61748643,126.9473035,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-055,,서울특별시 은평구 불광동 산42-1,37.61748643,126.9473035,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-056,서울특별시 은평구 진흥로 267,,37.61185227,126.9388742,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-057,서울특별시 은평구 불광로 146,,37.620392,126.932526,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-058,서울특별시 은평구 불광로 170,,37.621783,126.931655,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-059,서울특별시 은평구 불광로 204,,37.624264,126.929645,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-060,서울특별시 은평구 불광로 207,,37.624441,126.929083,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-061,서울특별시 은평구 불광로 169,,37.62175683,126.9313391,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-062,서울특별시 은평구 불광로 153,,37.62014926,126.931919,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-063,,서울특별시 은평구 응암동 123-35,37.59463677,126.915042,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-064,서울특별시 은평구 연서로 366,,37.627753,126.929501,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-033,서울특별시 은평구 은평터널로 164,,37.59386051,126.9086431,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-066,서울특별시 은평구 연서로46길 7,,37.633941,126.9326829,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-067,서울특별시 은평구 연서로 534,,37.64097221,126.9379431,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-068,서울특별시 은평구 진관길 1,,37.64240557,126.938934,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-069,서울특별시 은평구 진관길 11-21,,37.64361066,126.939552,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-070,,서울특별시 은평구 진관동 129,37.642543,126.938529,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-071,서울특별시 은평구 연서로 535,,37.64163759,126.9369302,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-072,서울특별시 은평구 연서로 322,,37.623967,126.928411,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
은평-073,서울특별시 은평구 진관4로 17,,37.643645,126.922911,간선도로 옆,1200*700*800,7,100,0,0,서울특별시 은평구청,2025-06-26
